################################################################################
# Energy vs. volume comparison.
################################################################################
# Col  Name        Description
################################################################################
# 1    V_atom      Volume per atom.
# 2    Eref_atom   Reference energy per atom.
# 3    N           Number of atoms.
# 4    V           Volume of structure.
# 5    Eref        Reference energy of structure.
# 6    Eref_offset Reference energy of structure (including offset).
###############################################################################################
#              1                2          3                4                5                6
#         V_atom        Eref_atom          N                V             Eref      Eref_offset
###############################################################################################
  9.45013157E+00  -5.44083655E+00        168   1.58762210E+03  -9.14060541E+02  -3.14936605E+04
  9.45013157E+00  -5.28394325E+00        168   1.58762210E+03  -8.87702466E+02  -3.14673025E+04
  9.45013157E+00  -6.23978327E+00        168   1.58762210E+03  -1.04828359E+03  -3.16278836E+04
  9.45013157E+00  -5.43931105E+00        168   1.58762210E+03  -9.13804256E+02  -3.14934043E+04
  9.45013157E+00  -4.88030970E+00        168   1.58762210E+03  -8.19892030E+02  -3.13994920E+04
  9.45013157E+00  -5.14815028E+00        168   1.58762210E+03  -8.64889248E+02  -3.14444892E+04
  9.45013157E+00  -5.10333352E+00        168   1.58762210E+03  -8.57360032E+02  -3.14369600E+04
  9.45013157E+00  -5.77127933E+00        168   1.58762210E+03  -9.69574928E+02  -3.15491749E+04
  9.45013157E+00  -5.81332860E+00        168   1.58762210E+03  -9.76639204E+02  -3.15562392E+04
  9.45013157E+00  -4.74786543E+00        168   1.58762210E+03  -7.97641393E+02  -3.13772414E+04
  9.45013157E+00  -6.20672421E+00        168   1.58762210E+03  -1.04272967E+03  -3.16223297E+04
  9.45013157E+00  -5.35491108E+00        168   1.58762210E+03  -8.99625062E+02  -3.14792251E+04
  9.45013157E+00  -6.05823587E+00        168   1.58762210E+03  -1.01778363E+03  -3.15973836E+04
  9.45013157E+00  -5.25428828E+00        168   1.58762210E+03  -8.82720432E+02  -3.14623204E+04
  9.45013157E+00  -4.03097429E+00        168   1.58762210E+03  -6.77203681E+02  -3.12568037E+04
  9.45013157E+00  -4.97634055E+00        168   1.58762210E+03  -8.36025213E+02  -3.14156252E+04
  9.45013157E+00  -5.24201490E+00        168   1.58762210E+03  -8.80658504E+02  -3.14602585E+04
  9.45013157E+00  -5.56276364E+00        168   1.58762210E+03  -9.34544292E+02  -3.15141443E+04
  9.45013157E+00  -6.22462694E+00        168   1.58762210E+03  -1.04573733E+03  -3.16253373E+04
  9.45013157E+00  -5.55325907E+00        168   1.58762210E+03  -9.32947523E+02  -3.15125475E+04
  9.45013157E+00  -4.86076040E+00        168   1.58762210E+03  -8.16607747E+02  -3.13962077E+04
  9.45013157E+00  -5.45523431E+00        168   1.58762210E+03  -9.16479364E+02  -3.14960794E+04
  9.45013157E+00  -5.25239086E+00        168   1.58762210E+03  -8.82401665E+02  -3.14620017E+04
  9.45013157E+00  -5.64708635E+00        168   1.58762210E+03  -9.48710506E+02  -3.15283105E+04
  9.45013157E+00  -5.64815972E+00        168   1.58762210E+03  -9.48890833E+02  -3.15284908E+04
  9.45013157E+00  -4.94000483E+00        168   1.58762210E+03  -8.29920811E+02  -3.14095208E+04
