################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         2        114       9903  -2.10289039E-01   2.05577941E-01  -1.97403514E-03   6.67595349E-02
         2        115       9903  -7.53757767E-01   6.09830773E-01   2.18889911E-03   2.39296557E-01
         2        116       9903  -2.63569685E-01   3.63786019E-01   3.90730741E-04   1.13812401E-01
         2        117       9903  -4.19421958E-01   3.29436847E-01   5.72331100E-04   1.49561649E-01
         2        118       9903  -6.61222148E-01   5.58602843E-01  -1.01276443E-04   2.08425061E-01
         2        119       9903  -4.75751735E-01   5.81685334E-01  -8.04589244E-04   1.53918555E-01
         2        120       9903  -7.83229900E-01   5.94746523E-01   2.77331477E-03   2.46032690E-01
         2        121       9903  -5.16369560E-01   4.36681975E-01   2.91708245E-03   1.48188481E-01
         2        122       9903  -3.11793522E-01   1.87795432E-01   8.20232132E-04   1.26253558E-01
         2        123       9903  -4.13420692E-01   5.67422415E-01  -8.67985378E-05   1.56688165E-01
         2        124       9903  -4.14285063E-01   6.15362172E-01  -2.04899095E-03   1.91978345E-01
         2        125       9903  -2.16594918E-01   2.77499024E-01  -9.94455433E-04   8.95382413E-02
         2        126       9903  -8.85860249E-01   7.18580812E-01   2.06779068E-03   2.74613762E-01
         2        127       9903  -2.66397978E-01   4.02325272E-01  -1.73408053E-03   1.20919911E-01
         2        128       9903  -4.43492380E-01   4.76346299E-01   1.74702240E-03   1.64547659E-01
         2        129       9903  -2.89193681E-01   1.97337798E-01   3.37768463E-03   1.04852070E-01
         2        130       9903  -5.30442778E-01   4.16812606E-01   3.00473630E-03   1.60719259E-01
         2        131       9903  -4.73252887E-01   5.40786431E-01   8.66428374E-05   1.86272290E-01
         2        132       9903  -2.38983373E-01   1.27933639E-01   2.96493884E-03   6.26537025E-02
         2        133       9903  -1.77690361E-01   2.22662539E-01  -5.00235636E-05   7.05075876E-02
         2        134       9903  -2.55275911E-01   3.64391515E-01  -1.44343039E-03   1.17928393E-01
